# Logfile created on 2026-02-11 05:35:43 +0100 by logger.rb/v1.4.3
2026-02-11 05:35:44 +0100: Memory Usage (434528K) : pldb_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (434528K) : pwell_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (434656K) : pwell_pin has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (434656K) : pwell_block has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (434784K) : ic_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (434784K) : via3_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (434912K) : metal4_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (434912K) : metal4_pin has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (434912K) : metal4_mask has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (434912K) : metal4_filler has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (435040K) : metal4_nofill has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (435040K) : metal4_slit has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (435040K) : metal4_text has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (435168K) : metal4_opc has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (435168K) : metal4_noqrc has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (435296K) : metal4_res has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (435296K) : metal4_iprobe has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (435296K) : metal4_diffprb has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (435424K) : heattrans_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (435424K) : heatres_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (435552K) : pempoly_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (435552K) : fbe_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (435680K) : empoly_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (435680K) : ldmos_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (435808K) : pbiwind_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (435808K) : digisub_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (435808K) : nodrc_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (435936K) : text_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (435936K) : via4_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436064K) : metal5_drw has 225 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436064K) : metal5_pin has 8 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436192K) : metal5_mask has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436192K) : metal5_filler has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436192K) : metal5_nofill has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436192K) : metal5_slit has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436320K) : metal5_text has 8 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436320K) : metal5_opc has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436320K) : metal5_noqrc has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436448K) : metal5_res has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436448K) : metal5_iprobe has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436448K) : metal5_diffprb has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436576K) : radhard_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436576K) : memcap_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436704K) : varicap_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436704K) : flash_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436832K) : intbondvia_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436832K) : intbondmet_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436832K) : devbondvia_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436960K) : devbondmet_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (436960K) : devtrench_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437088K) : redist_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437088K) : graphbot_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437088K) : graphtop_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437216K) : antvia1_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437216K) : antmetal2_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437344K) : graphcont_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437344K) : siwg_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437344K) : siwg_filler has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437344K) : siwg_nofill has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437472K) : sigrating_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437472K) : singrating_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437472K) : graphpas_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437600K) : emwind3_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437600K) : emwihv3_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437728K) : redbulay_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437728K) : smos_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437856K) : graphpad_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437856K) : polimide_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437856K) : polimide_pin has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437984K) : recog_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (437984K) : recog_pin has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (438112K) : recog_esd has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (438112K) : recog_diode has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (438240K) : recog_tsv has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (438240K) : recog_iprobe has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (438240K) : recog_diffprb has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (438368K) : recog_pillar has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (438368K) : recog_sbump has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (438496K) : recog_otp has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (438496K) : recog_pdiode has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (438496K) : recog_mom has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (438624K) : recog_pcm has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (438624K) : colopen_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (438752K) : graphmetal1_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (438752K) : graphmetal1_filler has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (438880K) : graphmetal1_nofill has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (438880K) : graphmetal1_slit has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (438880K) : graphmetal1_opc has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (439008K) : graphmet1l_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (439008K) : graphmet1l_filler has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (439136K) : graphmet1l_nofill has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (439136K) : graphmet1l_slit has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (439136K) : graphmet1l_opc has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (439264K) : extblock_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (439264K) : nldd_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (439392K) : pldd_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (439392K) : next_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (439520K) : pext_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (439520K) : nexthv_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (439520K) : pexthv_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (439648K) : graphgate_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (439648K) : sinwg_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (439776K) : sinwg_filler has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (439776K) : sinwg_nofill has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (439904K) : mempad_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (439904K) : topvia1_drw has 0 polygons
2026-02-11 05:35:44 +0100: Memory Usage (439904K) : topmetal1_drw has 202 polygons
