# Logfile created on 2026-02-26 05:26:36 +0100 by logger.rb/v1.4.3
2026-02-26 05:26:36 +0100: Memory Usage (435368K) : fbe_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (435368K) : empoly_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (435496K) : ldmos_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (435496K) : pbiwind_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (435496K) : digisub_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (435624K) : nodrc_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (435624K) : text_drw has 56 polygons
2026-02-26 05:26:36 +0100: Memory Usage (435752K) : via4_drw has 25 polygons
2026-02-26 05:26:36 +0100: Memory Usage (435752K) : metal5_drw has 8 polygons
2026-02-26 05:26:36 +0100: Memory Usage (435752K) : metal5_pin has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (435880K) : metal5_mask has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (435880K) : metal5_filler has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (436008K) : metal5_nofill has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (436008K) : metal5_slit has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (436008K) : metal5_text has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (436008K) : metal5_opc has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (436136K) : metal5_noqrc has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (436136K) : metal5_res has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (436264K) : metal5_iprobe has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (436264K) : metal5_diffprb has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (436264K) : radhard_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (436392K) : memcap_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (436392K) : varicap_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (436520K) : flash_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (436520K) : intbondvia_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (436648K) : intbondmet_drw has 0 polygons
